test for:;100_5_22_15.def
value:;children_number
25;722
50;743
75;713
100;642
125;788
150;710
175;730
200;674
225;565
250;634
275;758
300;644
325;662
350;610
375;630
400;594
425;576
450;618
475;606
500;619
525;559
550;609
575;646
600;591
625;637
650;607
675;632
700;640
725;610
750;621
775;574
800;578
825;590
850;574
875;608
900;574
925;575
950;592
975;609
1000;624
value:;loops
1;580
11;647
21;647
31;644
41;755
51;611
61;623
71;616
81;684
91;641
101;649
111;657
121;677
131;684
141;665
151;618
161;712
171;685
181;626
191;692
201;677
211;712
221;651
231;657
241;643
251;748
261;737
271;648
281;751
291;765
test for:;100_5_22_15.def
value:;children_number
25;718
50;746
75;623
100;847
125;734
150;619
175;738
200;624
225;680
250;648
275;710
300;678
325;634
350;710
375;608
400;640
425;615
450;672
475;625
500;620
525;559
550;530
575;628
600;592
625;617
650;565
675;584
700;576
725;593
750;587
775;608
800;644
825;598
850;584
875;605
900;548
925;551
950;606
975;582
1000;621
value:;loops
1;614
11;572
21;587
31;639
41;624
51;569
61;682
71;598
81;665
91;631
101;677
111;695
121;623
131;622
141;636
151;634
161;619
171;610
181;569
191;639
201;585
211;659
221;697
231;617
241;621
251;620
261;594
271;618
281;686
291;667
test for:;100_5_22_15.def
value:;children_number
25;766
50;698
75;585
100;682
125;647
150;634
175;612
200;629
225;608
250;651
275;581
300;612
325;605
350;648
375;668
400;614
425;644
450;623
475;640
500;614
525;678
550;560
575;621
600;612
625;680
650;588
675;625
700;597
725;572
750;564
775;585
800;572
825;568
850;578
875;596
900;595
925;600
950;554
975;594
1000;557
value:;loops
1;604
11;619
21;654
31;648
41;768
51;711
61;610
71;674
81;662
91;682
101;729
111;773
121;783
131;720
141;758
151;699
161;647
171;736
181;724
191;672
201;730
211;804
221;641
231;786
241;822
251;685
261;661
271;804
281;690
291;690
test for:;100_5_22_15.def
value:;children_number
25;810
50;715
75;785
100;658
125;634
150;652
175;679
200;544
225;600
250;601
275;759
300;628
325;636
350;630
375;674
400;604
425;643
450;637
475;636
500;587
525;651
550;579
575;589
600;565
625;602
650;650
675;623
700;601
725;649
750;614
775;588
800;616
825;586
850;645
875;578
900;587
925;592
950;618
975;594
1000;597
value:;loops
1;576
11;625
21;550
31;610
41;663
51;701
61;645
71;586
81;674
91;629
101;590
111;636
121;717
131;633
141;775
151;695
161;573
171;693
181;659
191;720
201;600
211;586
221;650
231;651
241;731
251;760
261;584
271;637
281;625
291;689
test for:;100_5_22_15.def
value:;children_number
25;815
50;727
75;731
100;577
125;777
150;674
175;661
200;619
225;684
250;628
275;611
300;577
325;609
350;600
375;608
400;611
425;632
450;595
475;573
500;570
525;586
550;534
575;577
600;586
625;570
650;565
675;586
700;628
725;600
750;551
775;590
800;593
825;577
850;531
875;600
900;534
925;526
950;550
975;556
1000;578
value:;loops
1;580
11;533
21;629
31;594
41;569
51;641
61;614
71;698
81;719
91;611
101;611
111;613
121;632
131;597
141;639
151;702
161;567
171;575
181;658
191;593
201;649
211;650
221;572
231;616
241;616
251;591
261;629
271;619
281;625
291;616
test for:;100_5_22_15.def
value:;loops
1;578
11;596
21;702
31;602
41;746
51;633
61;654
71;724
81;736
91;659
101;572
111;656
121;664
131;768
141;820
151;592
161;706
171;719
181;744
191;660
201;656
211;633
221;824
231;653
241;705
251;663
261;687
271;616
281;672
291;632
test for:;100_5_22_15.def
value:;loops
1;570
11;547
21;550
31;535
41;570
51;580
61;576
71;560
81;560
91;609
101;511
111;545
121;568
131;570
141;574
151;610
161;561
171;554
181;546
191;555
201;582
211;615
221;590
231;555
241;549
251;564
261;580
271;523
281;586
291;638
test for:;100_5_22_15.def
value:;loops
1;591
11;601
21;677
31;636
41;621
51;718
61;671
71;652
81;706
91;665
101;693
111;612
121;636
131;613
141;633
151;621
161;687
171;729
181;650
191;599
201;663
211;649
221;687
231;671
241;679
251;707
261;647
271;750
281;638
291;650
test for:;100_5_22_15.def
value:;loops
1;617
11;640
21;680
31;600
41;708
51;704
61;645
71;624
81;676
91;661
101;662
111;704
121;668
131;640
141;726
151;725
161;603
171;664
181;780
191;684
201;704
211;677
221;618
231;628
241;572
251;726
261;662
271;637
281;694
291;599
test for:;100_5_22_15.def
value:;loops
1;593
11;612
21;647
31;631
41;671
51;600
61;764
71;614
81;585
91;652
101;727
111;630
121;709
131;741
141;737
151;705
161;704
171;754
181;784
191;670
201;682
211;822
221;673
231;862
241;655
251;745
261;837
271;765
281;721
291;809
