test fo:,children_number
100,93
200,93
300,93
400,93
500,93
600,93
700,93
800,93
900,93
1000,93
test fo:,loops
100,93
200,93
300,93
400,104
500,105
600,109
700,93
800,93
900,99
1000,93
test fo:,children_number
100,108
200,105
300,93
400,93
500,93
600,93
700,93
800,93
900,93
1000,93
test fo:,loops
100,93
200,105
300,93
400,93
500,93
600,105
700,93
800,93
900,99
1000,93
test fo:,children_number
100,93
200,93
300,99
400,93
500,93
600,93
700,93
800,93
900,93
1000,93
test fo:,loops
100,93
200,93
300,99
400,99
500,93
600,93
700,106
800,93
900,93
1000,99
test fo:,children_number
100,106
200,99
300,93
400,93
500,93
600,93
700,93
800,93
900,93
1000,93
test fo:,loops
100,93
200,93
300,93
400,108
500,98
600,93
700,98
800,109
900,93
1000,109
test fo:,children_number
100,108
200,105
300,99
400,93
500,93
600,93
700,93
800,93
900,93
1000,93
test fo:,loops
100,99
200,93
300,93
400,105
500,93
600,105
700,109
800,106
900,98
1000,93
test fo:,children_number
100,105
200,109
300,93
400,93
500,93
600,93
700,93
800,93
900,93
1000,93
test fo:,loops
100,93
200,107
300,93
400,93
500,99
600,93
700,99
800,99
900,93
1000,93
test fo:,children_number
100,105
200,93
300,93
400,93
500,93
600,93
700,93
800,93
900,93
1000,93
test fo:,loops
100,93
200,93
300,108
400,93
500,93
600,93
700,93
800,93
900,105
1000,93
test fo:,children_number
100,93
200,105
300,93
400,99
500,93
600,93
700,93
800,93
900,93
1000,93
test fo:,loops
100,93
200,93
300,93
400,98
500,93
600,105
700,105
800,93
900,93
1000,93
test fo:,children_number
100,108
200,99
300,93
400,93
500,99
600,99
700,93
800,93
900,93
1000,93
test fo:,loops
100,109
200,93
300,93
400,93
500,109
600,93
700,93
800,99
900,93
1000,93
test fo:,children_number
100,93
200,93
300,93
400,93
500,93
600,93
700,93
800,93
900,93
1000,93
test fo:,loops
100,93
200,93
300,99
400,99
500,93
600,93
700,93
800,93
900,93
1000,93
test fo:,children_number
100,109
200,93
300,93
400,93
500,93
600,93
700,93
800,93
900,93
1000,93
test fo:,loops
100,98
200,93
300,93
400,93
500,93
600,93
700,93
800,93
900,99
1000,93
test fo:,children_number
100,93
200,105
300,93
400,93
500,93
600,93
700,93
800,93
900,93
1000,93
test fo:,loops
100,93
200,93
300,93
400,93
500,93
600,93
700,108
800,93
900,105
1000,93
test fo:,children_number
100,104
200,93
300,93
400,93
500,93
600,93
700,93
800,93
900,93
1000,93
test fo:,loops
100,93
200,93
300,93
400,93
500,93
600,98
700,93
800,93
900,99
1000,93
test fo:,children_number
100,93
200,93
300,93
400,93
500,93
600,93
700,93
800,93
900,93
1000,93
test fo:,loops
100,93
200,93
300,93
400,93
500,105
600,98
700,93
800,93
900,93
1000,93
test fo:,children_number
100,105
200,107
300,93
400,99
500,93
600,93
700,93
800,93
900,93
1000,93
test fo:,loops
100,93
200,93
300,98
400,93
500,93
600,93
700,109
800,93
900,93
1000,93
test fo:,children_number
100,93
200,93
300,93
400,93
500,93
600,93
700,93
800,93
900,93
1000,93
test fo:,loops
100,93
200,93
300,93
400,105
500,105
600,93
700,93
800,93
900,93
1000,93
test fo:,children_number
100,105
200,93
300,99
400,93
500,93
600,93
700,93
800,93
900,93
1000,93
test fo:,loops
100,105
200,109
300,99
400,93
500,93
600,93
700,93
800,93
900,93
1000,93
test fo:,children_number
100,129
200,105
300,109
400,131
500,98
600,109
700,108
800,105
900,128
1000,113
test fo:,loops
100,107
200,107
300,113
400,93
500,125
600,113
700,109
800,126
900,109
1000,109
test fo:,children_number
100,159
200,135
300,108
400,109
500,125
600,117
700,109
800,108
900,105
1000,109
test fo:,loops
100,107
200,113
300,105
400,106
500,105
600,108
700,107
800,109
900,129
1000,127
test fo:,children_number
100,105
200,108
300,122
400,104
500,128
600,107
700,109
800,105
900,99
1000,110
test fo:,loops
100,117
200,108
300,105
400,126
500,108
600,107
700,107
800,107
900,98
1000,106
